epoch,train_lr_10,train_lr_5,train_lr_1,train_lr_0.1,train_lr_0.01,train_lr_0.001,train_lr_0.0001,train_lr_0.00001,val_lr_1,val_lr_0.1,val_lr_0.01,val_lr_0.001,val_lr_0.0001,val_lr_0.00001
44,,14.551003,2.313831,2.303682,0.881189,1.376587,2.299771,2.30431,2.314703,2.303259,1.088431,1.401645,2.299647,2.304303
45,,2.10751E+28,2.311911,2.303684,0.875268,1.369632,2.299619,2.304298,2.315945,2.30345,1.067271,1.392708,2.299486,2.304291
46,,,2.312503,2.303835,0.868108,1.35972,2.299458,2.304285,2.306432,2.304068,1.030428,1.366144,2.299318,2.304278
47,,,2.312104,2.303882,0.857187,1.35679,2.29929,2.304273,2.318615,2.303218,1.056093,1.389494,2.299138,2.304266
48,,,2.314792,2.303686,0.865373,1.349948,2.299112,2.30426,2.311675,2.303162,1.0414,1.356687,2.298951,2.304254
49,,,2.313144,2.303933,0.850598,1.341411,2.298921,2.304248,2.312536,2.303725,1.056344,1.349754,2.298749,2.304241
50,,,2.31453,2.303712,0.848662,1.330807,2.29872,2.304236,2.306784,2.303728,1.055635,1.353879,2.298536,2.304229
51,,,2.313959,2.30361,0.852422,1.32911,2.298505,2.304224,2.318611,2.303853,1.089927,1.341182,2.298307,2.304217
52,,,2.314315,2.303561,0.842933,1.316673,2.298277,2.304212,2.312794,2.304014,1.058358,1.336697,2.298067,2.304205
53,,,2.31486,2.303866,0.848272,1.309901,2.298033,2.3042,2.307972,2.303535,1.024908,1.331733,2.297805,2.304194
54,,,2.313992,2.303716,0.832063,1.306022,2.297771,2.304189,2.318471,2.303196,1.045662,1.326997,2.297524,2.304182
55,,,2.312937,2.304097,0.832746,1.297634,2.297488,2.304177,2.313035,2.303188,1.027552,1.319852,2.297226,2.30417
56,,,2.313104,2.303546,0.831345,1.290136,2.297186,2.304165,2.316833,2.303444,1.064502,1.332055,2.296901,2.304159
57,,,2.313928,2.303753,0.824566,1.286858,2.296861,2.304154,2.309717,2.303718,1.028514,1.304738,2.296551,2.304147
58,,,2.313293,2.303812,0.819453,1.278158,2.296513,2.304142,2.312176,2.3033,1.040262,1.307615,2.296177,2.304136
59,,,2.314146,2.303521,0.825093,1.268814,2.296138,2.304131,2.312691,2.303737,1.139439,1.290579,2.295775,2.304125
60,,,2.313258,2.303978,0.808683,1.268724,2.295735,2.30412,2.308287,2.303795,1.072574,1.288625,2.295345,2.304113
61,,,2.313134,2.303928,0.815534,1.257689,2.295304,2.304108,2.313548,2.303255,1.050295,1.290968,2.294885,2.304102
62,,,2.315407,2.303749,0.816711,1.253867,2.294839,2.304097,2.318022,2.303063,1.057159,1.287715,2.294393,2.304091
63,,,2.31571,2.303827,0.810725,1.243458,2.294341,2.304086,2.311782,2.303978,1.066033,1.298663,2.293859,2.30408
64,,,2.314826,2.303796,0.811516,1.245331,2.293806,2.304075,2.316181,2.303706,1.009761,1.268605,2.293287,2.304069
65,,,2.313496,2.303661,0.812988,1.232536,2.293227,2.304064,2.306027,2.303268,1.139459,1.259748,2.292673,2.304058
66,,,2.313408,2.303658,0.808273,1.225332,2.292602,2.304054,2.314909,2.303423,1.057334,1.300575,2.292004,2.304047
67,,,2.315473,2.303722,0.800761,1.223546,2.291923,2.304043,2.307258,2.303692,1.020093,1.253848,2.291288,2.304037
68,,,2.313978,2.303688,0.799013,1.214901,2.29119,2.304032,2.317676,2.303797,1.134073,1.251225,2.290509,2.304026
69,,,2.314752,2.303983,0.801531,1.214317,2.290401,2.304022,2.312994,2.303272,1.042444,1.251474,2.289673,2.304015
70,,,2.313578,2.303716,0.80032,1.208599,2.289559,2.304011,2.316151,2.303652,1.0649,1.23825,2.288788,2.304005
71,,,2.314425,2.303923,0.795122,1.198421,2.288666,2.304001,2.307521,2.303227,1.06514,1.244373,2.287848,2.303995
72,,,2.313561,2.303884,0.783551,1.190914,2.28772,2.30399,2.317312,2.303287,1.059381,1.246974,2.286855,2.303984
73,,,2.313346,2.30359,0.79681,1.187669,2.286713,2.30398,2.319728,2.303656,1.025337,1.235619,2.285804,2.303974
74,,,2.315007,2.303752,0.787358,1.183062,2.285639,2.30397,2.320708,2.303919,1.043133,1.269262,2.284671,2.303964
75,,,2.314121,2.303771,0.786556,1.178676,2.284492,2.30396,2.319513,2.304456,1.043454,1.219798,2.283466,2.303954
